ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE
00172I72UL,61,M,529399.0,850,1
00173Q33YX,60,F,150610.66666666666,315,1
00174P76OQ,59,M,737673.0,525,1
00177D07HX,61,F,366653.3333333333,748,0
00184X69JT,42,M,397493.0,241,1
00186P04PT,33,M,292406.0,323,0
00187N85DF,63,F,331237.3333333333,433,1
00188E43DF,60,M,240020.0,258,1
00189M02HG,64,M,121018.0,311,0
00191S39KZ,46,M,373478.0,367,1
00195G41IU,32,F,384015.6666666666,272,1
00195P25IN,30,F,213546.66666666666,230,0
00195Q10ZP,35,M,257308.0,40,0
00197O44XP,34,M,282501.0,823,1
00198D05HX,51,F,252154.66666666666,240,0
00198H12HX,57,M,480760.0,899,1
00198H71BB,26,M,132599.0,436,0
00201E56ZV,64,F,153181.33333333334,275,0
00202X22MN,53,F,431624.0,296,0
00205O79UQ,38,M,498894.0,296,1
00209O01CF,65,F,97626.66666666667,468,1
00213H22RL,37,M,324297.0,301,1
00214G18BG,49,F,547754.6666666666,296,1
00214H08FS,31,F,405807.3333333334,353,0
00218H09KC,65,F,159648.0,830,1
00218V46WS,62,F,105133.33333333333,311,0
00221E71ZX,49,M,298254.0,266,1
00222P84OU,36,F,282392.0,462,1
00223L77HZ,63,M,414729.0,595,1
00226J79YI,59,M,412753.0,198,0
00227R80JC,47,M,398253.0,327,1
00228R68ZE,43,F,525024.0,479,1
00228Z35MR,43,M,405642.0,201,0
00230U63RP,54,F,92864.0,78,1
00232B56RM,55,F,308714.6666666667,317,0
00237O77NS,31,F,357850.3333333334,480,1
00250P24JI,45,M,352042.0,94,1
00251B45QQ,62,F,407426.6666666667,373,0
00251D05TO,30,M,298431.0,496,1
00255A68BB,29,M,159186.0,302,1
00257F20SW,34,F,448273.0,87,0
00260M66JI,25,F,344518.6666666666,450,0
00261M80HZ,62,M,293809.0,269,0
00263W23XQ,58,M,521180.0,624,1
00264J96QC,29,F,193330.66666666666,274,0
00273F04YP,63,M,491967.0,370,1
00277V91XO,63,M,364455.0,319,1
00279E12YC,33,F,329426.0,224,0
00281H13IL,32,M,137376.0,262,0
00282H90KM,46,M,623584.0,348,1
00283Q67LW,33,F,440311.3333333334,286,0
00283R71ZE,44,F,327656.0,271,0
00284C65GH,30,F,286077.3333333333,358,1
00289N46JG,40,M,156705.0,145,0
00299I24KW,42,M,547376.0,722,1
00302F94QD,50,F,418992.0,37,0
00302J37VM,40,F,410178.6666666667,33,0
00309P39HF,60,M,245295.0,269,0
00310Q42MZ,33,M,130517.0,322,0
00315I46PY,62,F,502570.6666666667,253,1
00318K61KI,61,F,231938.66666666666,505,1
00319G52KN,39,F,402818.6666666667,293,0
00319W54HL,33,M,126085.0,65,1
00327I16CN,34,F,300106.6666666667,280,0
00332G98OD,52,M,548641.0,263,0
00333G45BT,55,F,452490.6666666667,414,1
00335D45ZO,38,M,250767.0,81,0
00336T66SQ,61,M,739615.0,490,1
00342X44FK,50,M,410704.0,312,0
00345D80KY,56,F,460232.0,454,1
00349F03KO,42,M,383210.0,323,0
00352T67FO,50,F,428269.3333333333,359,0
00361H11UT,26,M,201025.0,204,1
00364V23LI,50,M,703957.3333333334,224,1
00365W93ZJ,47,M,448851.0,442,0
00367J12EU,49,M,313491.0,319,0
00370E34LE,51,F,460696.0,613,1
00373G59CP,34,M,212101.0,20,0
00375D60YS,39,F,403288.0,267,1
00376J00ZZ,36,F,359117.3333333333,380,1
00379Z36SA,30,M,206429.0,265,0
00382V59DF,31,M,171595.0,462,1
00383N03UQ,39,M,158799.0,455,0
00385Q88UV,56,M,450129.0,449,1
00389G25SI,44,M,594890.6666666666,848,1
00398Y03ZM,64,M,325588.0,91,0
00401K86FK,62,F,423189.3333333333,546,1
00401O09TQ,49,F,297602.6666666667,338,0
00403U35TW,28,F,139173.33333333334,406,1
00408L45WP,61,F,369072.0,82,0
00408Y08KQ,32,M,151120.0,331,1
00410R16TC,25,F,398736.0,279,0
00417A28PT,28,M,215760.0,418,1
00419G61MI,38,F,317861.3333333333,341,0
00419O42OQ,52,M,215426.0,298,1
00419V35NQ,43,M,366221.0,431,1
00429R01AE,30,M,139415.0,249,0
00431G07OO,52,M,431286.0,399,1
00436Y85OW,49,F,750840.0,496,1
00440N64KQ,51,M,195015.0,84,0
00444U00JB,32,F,488666.6666666667,15,0
00453H15DP,33,M,267485.0,397,1
00455K70WT,41,M,420102.0,330,0
00459L34ID,54,F,530882.6666666666,302,0
00461I28ID,46,M,326522.0,361,1
00464V67EK,35,F,240805.33333333334,281,1
00473N34QJ,46,M,539405.3333333334,927,1
00475I88MC,43,M,259877.0,428,1
00493W41NP,32,F,330118.6666666666,396,1
00500S08SF,39,M,280888.0,498,1
00501G72LQ,36,F,427181.3333333333,265,0
00501L02HF,53,M,339461.0,238,1
00501T24RS,32,M,269414.0,333,0
00502D01IX,34,M,205253.0,286,0
00504A56CT,59,M,500732.0,209,0
00504T00RT,33,M,243617.0,372,1
00507E06MF,49,M,134492.0,479,0
00517Y96VA,62,F,293661.3333333333,298,0
00518J26YC,27,F,447013.3333333333,313,1
00518T21SS,63,F,181069.33333333334,463,1
00520M39VD,33,F,317437.3333333333,56,0
00520U36PQ,63,F,403709.3333333333,821,1
00522N86WP,27,M,205214.0,596,1
00525V37OB,54,F,450053.3333333333,361,1
00530T87YG,61,F,199896.0,416,1
00533R36MW,62,F,194712.0,150,0
00539H54NQ,45,M,137660.0,201,0
00542P53PF,58,F,481856.0,571,1
00543L30OC,58,M,126174.0,240,0
00546N40AX,43,F,734605.3333333334,260,0
00546X20AD,33,F,382048.3333333334,254,1
00548N04YU,59,F,203056.0,306,0
00551U40CI,52,M,465582.0,168,1
00553H11CJ,50,M,212319.0,431,0
00553J02LM,46,F,366016.0,125,0
00556C70FP,43,F,661573.3333333334,562,1
00560M12PX,63,F,411613.3333333333,686,1
00567R64FM,37,M,397731.0,213,1
00568J65SH,55,M,138584.0,975,1
00569N86LZ,28,F,177482.66666666666,332,1
00570A36UB,55,M,776224.0,518,1
00573A72IV,63,M,688604.0,483,1
00573H82YB,29,F,457411.0,286,1
00573O29KC,29,F,498557.3333333333,423,1
00581Q10GK,36,M,290958.0,275,0
00581V89BY,60,F,479149.3333333333,339,1
00586N32TT,41,M,176922.0,324,1
00586U96UR,49,M,405799.0,275,1
00588Z20CE,57,F,94773.33333333333,326,0
00591L30JZ,63,F,413181.3333333333,529,1
00596L21AG,36,F,608234.6666666666,500,0
00597M73JU,59,M,347636.0,426,1
00597U80TD,57,F,199264.0,30,1
00597Y41ON,49,F,683741.3333333334,335,0
00600R42WH,41,M,265642.0,278,0
00604N95HR,40,F,511938.6666666667,343,1
00607C34QX,28,F,434554.6666666667,301,1
00607J41MX,59,F,237954.66666666666,181,1
00614D96HJ,27,M,230490.0,348,0
00618Q42CL,35,M,150900.0,443,1
00619C80OJ,50,F,458736.0,60,0
00620C55TZ,38,M,572869.3333333334,488,1
00621B59JV,64,M,113709.0,626,0
00622Q85VX,56,F,241616.0,120,0
00627F51PE,49,M,495549.0,141,1
00632Y77VT,41,F,529834.6666666666,446,1
00633V61EC,57,M,471821.0,45,1
00636I79LV,56,M,378477.0,463,1
00638O43EA,51,F,367565.3333333333,237,0
00641G28YH,61,M,109837.0,311,1
00643U81CS,30,M,235558.0,284,0
00649W73YA,51,F,477813.3333333333,230,1
00655D11UW,31,M,112574.0,369,0
00658H28XP,35,F,151637.33333333334,315,1
00658R45HF,53,M,787609.0,802,1
00659T59XL,30,F,437994.6666666667,349,0
00666Q86JT,39,M,444372.0,337,1
00667B13SX,62,M,411862.0,422,1
00669I59LZ,33,F,368384.3333333334,349,1
00674D31IS,47,F,659317.3333333334,290,1
00674H38AW,60,F,482248.0,411,0
00677W20SF,33,F,239741.33333333334,389,0
00682D83FR,51,M,793627.0,513,1
00683H66HF,29,F,466160.0,120,1
00684U17QW,59,M,166379.0,257,0
00692P42OU,36,M,443703.0,442,0
00697M49YH,55,M,122931.0,481,0
00698O55HC,55,M,110499.0,231,0
00704C92HW,51,F,88680.0,87,0
00705G84QD,34,F,342933.3333333333,482,1
00705J21XS,30,M,257651.0,79,0
00705Q74LP,33,F,331716.6666666666,346,0
00706L25FX,62,M,137580.0,344,0
00717V64OY,48,M,385394.0,424,1
00717W67CY,64,M,779778.0,380,1
00719I75XG,47,M,170486.0,238,0
00719L34GW,48,F,347008.0,487,1
00726J74XT,48,F,483365.3333333333,325,1
00727W36KD,54,F,303965.3333333333,71,0
00730M90XX,36,M,196575.0,350,1
00733E14KR,55,F,408050.6666666667,98,0
00741J06PK,64,M,106193.0,790,0
00741O96XC,42,F,341970.6666666667,891,0
00743F31QF,34,F,401235.0,253,0
00744S19FN,59,M,308839.0,107,0
00746S00UV,65,F,166530.66666666666,15,0
00748R62RR,46,F,459746.6666666667,938,1
00750T82EG,25,F,379876.0,340,0
00751P30ZX,48,F,531717.3333333334,798,1
00752S07GF,51,F,358352.0,878,1
00753Y39FX,28,F,469074.6666666667,252,0
00754G43CV,31,F,334384.0,371,1
00755W40EI,44,M,181029.0,334,0
00757R94ZC,56,M,740746.0,140,1
00759T72LN,51,F,378904.0,405,1
00760K33VH,51,F,421677.3333333333,779,1
00763N11CY,56,F,171002.66666666666,507,0
00764I35GI,53,M,513727.0,786,1
00764Z54EI,56,F,87858.66666666667,401,0
00768Z00MB,41,M,394836.0,254,0
00768Z27FB,63,M,633688.0,255,0
00769R93WL,45,F,326554.6666666667,342,1
00772D21XX,44,M,478692.0,423,1
00774B38EU,59,F,272045.3333333333,300,1
00779J88GP,30,F,255157.33333333334,173,1
00784Q15XZ,54,M,142597.0,50,1
00788W35OF,65,F,321733.3333333333,167,1
00789T30IT,41,F,608949.3333333334,43,0
00799J78SE,33,F,445744.3333333334,324,0
00801Q34ZT,33,F,487368.0,275,0
00805J05YV,31,M,286693.0,224,0
00807X19YS,54,M,367247.0,167,1
00810O95VM,27,M,191639.0,962,1
00816A48NH,53,F,319445.3333333333,685,1
00819E21EA,33,M,194434.0,286,0
00825B43UX,62,M,391364.0,146,0
00830V58JE,41,M,592416.0,8,0
00831G80LP,47,M,293732.0,380,1
00831N50BR,47,M,146687.0,457,1
00836Z49AU,37,M,482575.0,360,1
00842A00HN,25,M,161457.0,105,1
00843D54RP,35,M,287076.0,352,0
00843M17XT,29,M,171903.0,182,0
00845Q81TK,38,M,744202.6666666666,236,1
00846L25IB,36,M,758280.0,161,1
00850H53IL,30,M,285007.0,796,1
00850P15CY,30,F,478325.3333333333,464,1
00857V22KA,37,M,434249.0,318,0
00858L44ZP,31,F,372776.0,244,0
00859U97GB,53,M,248346.0,285,0
00860W36CG,39,M,387742.0,209,1
00863P24UX,43,M,252653.0,389,1
00865M93YQ,40,M,304007.0,226,0
00867G02AW,63,F,488994.6666666667,648,0
00873Y86OK,61,F,129037.33333333333,418,0
00875I88FU,51,F,119389.33333333333,327,0
00877B53FP,64,M,297888.0,41,0
00881N43MB,46,M,488740.0,388,1
00883P48KD,52,F,372018.6666666667,464,1
00884B00YM,65,F,407682.6666666667,398,0
00884O08HH,54,F,199381.33333333334,268,0
00886G69MO,62,M,432126.0,148,0
00886M72WM,35,F,453600.0,300,0
00889K93BP,63,F,281781.3333333333,783,1
00891G22PA,59,F,520701.3333333333,323,1
00894L73AU,26,M,169736.0,279,0
00898C15VM,64,F,282090.6666666667,500,1
00901N73RR,39,M,398483.0,470,1
00901R07PT,51,F,516285.3333333333,485,1
00903H73ZK,46,M,164721.0,473,1
00904F99MB,49,M,548824.0,146,1
00904I84IS,49,M,291493.0,460,1
00904P31DT,37,F,665368.0,295,1
00905S42UB,51,F,446626.6666666667,490,1
00906I17QD,65,M,391174.0,326,0
00907E28ZU,59,F,136861.33333333334,244,0
00908X63WZ,35,M,100259.0,480,1
00912D28FF,64,F,426720.0,227,1
00913B67KG,38,M,330965.0,364,1
00913R99BU,57,M,781754.0,181,1
00913V31TE,40,M,212213.0,284,1
00915M41NY,51,M,485904.0,850,1
00919E90FE,61,F,171549.33333333334,254,0
00922G84AU,37,M,264193.0,268,0
00922L29OE,28,F,196229.33333333334,257,0
00924F05LC,59,F,457080.0,348,0
00925V03AX,58,M,635837.0,360,1
00930E10QS,35,M,298021.0,488,1
00931S31VF,42,F,630717.3333333334,217,1
00934C21WS,48,M,290833.0,207,0
00934D48UJ,36,M,374075.0,396,1
00939Z87HR,39,M,125176.0,255,0
00940B89BJ,60,F,127029.33333333333,969,1
00943D49FD,59,F,316666.6666666667,603,0
00943K45TT,36,F,274872.0,810,1
00947C06UC,30,M,178731.0,259,1
00947N26ZQ,60,F,132224.0,163,0
00948K59ZW,53,F,513061.3333333333,995,1
00948M19XF,47,F,344040.0,958,1
00955D34KU,50,F,279882.6666666667,993,0
00955L04CY,45,M,331459.0,357,1
00955S92OW,43,M,582914.6666666666,132,1
00956F58IS,48,M,347048.0,298,0
00957D43YN,30,M,110721.0,373,1
00960O30FX,56,F,200357.33333333334,84,0
00960S45IJ,35,M,170833.0,212,1
00964H06PP,52,F,345690.6666666667,288,1
00966F87IK,27,F,267669.3333333333,233,1
00967L28RH,56,M,589550.0,365,1
00973W52MM,34,F,144389.33333333334,457,0
00978Y74ZX,45,F,318032.0,205,1
00983W88PB,39,M,241906.0,410,1
00986K76BF,34,M,195720.0,44,0
00988D64KD,38,M,436892.0,307,0
00989J36PB,40,M,328892.0,457,0
00989P99TT,31,M,287206.0,865,1
00991S22SR,52,M,594865.0,142,1
00992F39EM,61,F,243053.33333333334,144,0
00993V00RU,59,M,335735.0,696,1
00994U87KV,31,F,365857.6666666666,223,1
00995P51TZ,53,M,351715.0,386,1
00996M74JK,26,F,368552.0,373,0
01000F22UP,46,M,120648.0,144,0
01001K33KH,39,F,406216.0,324,0
01008F40OS,39,F,723461.3333333334,172,0
01008Q99DM,26,F,350271.3333333334,205,1
01009Q00IV,62,M,112922.0,209,0
01015G52MH,40,F,339328.0,489,1
01016U44AD,65,F,236016.0,769,1
01021O87OI,32,M,177884.0,307,1
01024G80SN,64,M,301744.0,525,1
01024T77TL,64,M,72138.0,84,0
01025V55XI,36,F,287733.3333333333,464,1
01026K03TS,30,F,337248.0,265,0
01026W37VZ,37,M,521922.6666666667,184,1
01029J74EU,62,M,725155.0,427,1
01030K68WE,63,M,154494.0,426,1
01031I91IC,26,M,114319.0,287,0
01036B63OU,47,F,454234.6666666667,282,1
01037M22VF,63,M,535350.0,219,1
01037X90QY,55,F,374984.0,352,1
01039S40NE,44,M,226511.0,485,0
01040P22BU,61,M,570420.0,337,1
01041H87VD,36,M,667101.3333333334,169,1
01058C29CA,44,M,379859.0,354,0
01059W32LZ,25,F,218589.33333333334,52,0
01062D39OT,38,M,451147.0,320,1
01067H72OL,27,F,440148.6666666666,219,1
01069V95BZ,34,M,248961.0,398,1
01071U56OU,65,M,451333.0,362,0
01072B91IF,60,F,479821.3333333333,481,1
01074R68ZA,34,M,209863.0,284,1
01077C41QN,61,M,489814.0,870,0
01084S44QF,40,F,701277.3333333334,456,1
01088S10VR,44,M,375053.0,214,1
01089Z30MG,35,M,215735.0,832,1
01090Q97CU,38,M,444794.0,338,0
01093I81KX,54,F,463250.6666666667,820,1
01111S41MP,60,M,726145.0,301,1
01115B12VM,43,M,382163.0,415,0
01115E84NE,26,M,156735.0,862,1
01115L00ID,37,F,587728.0,321,1
01116E98YG,64,M,356890.0,180,0
01117C91ZQ,51,M,367024.0,388,1
01119R35PW,27,M,293422.0,273,1
01119V81EZ,52,F,495042.6666666667,286,1
01121M25DE,37,M,311387.0,262,1
01122K24CQ,33,F,403633.3333333334,259,1
01122U04YX,42,M,432658.0,275,1
01123T67XK,33,M,192157.0,7,1
01124S12FS,53,M,74438.0,198,0
01127D22EI,53,M,766460.0,330,1
01129I96LR,51,F,251026.66666666666,181,0
01129P63AG,47,F,373136.0,947,1
01133L81RM,36,M,544405.3333333334,488,1
01136Y83CP,62,M,312569.0,437,1
01137U37JQ,38,M,442213.0,429,1
01142O70VF,60,F,278773.3333333333,260,0
01142Y75AB,60,F,321181.3333333333,1016,1
01147F40TX,48,M,375688.0,218,1
01147I00YN,40,F,521824.0,585,1
01149Y43AP,37,F,328237.3333333333,55,0
01150J25WQ,30,M,258885.0,405,0
01150O25WT,34,F,466138.6666666667,304,1
01151O52VB,48,M,360592.0,327,0
01151P20QC,43,M,126507.0,400,1
01151S65CN,60,F,91605.33333333333,55,0
01151U07NQ,57,F,467714.6666666667,344,0
01153G04UQ,55,M,194008.0,105,1
01162I66HE,56,F,418717.3333333333,72,0
01163O49BB,43,M,362258.0,326,0
01168U92UH,59,F,358632.0,486,1
01170E37DL,25,M,210229.0,434,1
01177D02SI,65,F,500301.3333333333,838,1
01178S34US,33,F,244272.0,299,0
01181X33GY,44,F,367720.0,43,0
01185T25PE,63,M,391285.0,276,1
01185X55LI,26,F,250256.0,262,0
01187X32PV,56,F,154482.66666666666,435,1
01191Z12SW,48,M,390169.0,338,1
01201C34CR,27,M,190820.0,342,1
01202B27LS,25,M,223470.0,496,1
01202D16CI,43,M,616413.3333333334,488,1
01207M12BE,30,F,421264.0,440,1
01211Z26TM,55,M,744584.0,341,0
01217O13GL,40,M,261481.0,330,0
01218M24CA,33,F,193461.33333333334,337,0
01219F31JE,38,M,629440.0,427,1
01222W90CM,55,M,209813.0,286,0
01229G22XZ,55,F,187621.33333333334,269,0
01230B25YI,55,M,626450.0,355,0
01230Q41MR,30,F,457941.3333333333,451,1
01235Q72WC,26,M,204953.0,454,0
01239I93SO,56,M,349492.0,358,1
01242T24SV,49,F,462114.6666666667,435,1
01248F66UL,56,F,213021.33333333334,978,1
01248J78OL,36,M,144461.0,384,1
01248W16MI,32,M,182430.0,458,1
01249M61OV,56,F,395056.0,451,1
01256I00DB,42,F,424968.0,800,1
01260Z65MJ,38,F,369701.3333333333,691,1
01261N00UV,60,F,336362.6666666667,429,1
01262A70MN,56,F,170069.33333333334,129,0
01264K53ZA,30,F,362253.3333333333,180,1
01264V06YQ,60,F,184869.33333333334,238,0
01266B11JM,55,M,220360.0,883,1
01267J14BB,52,F,406370.6666666667,500,1
01269X42KK,48,F,387002.6666666667,206,1
01272A34ZJ,41,F,335448.0,204,0
01272L91DZ,39,M,423928.0,380,0
01281R96GU,63,F,503021.3333333333,699,0
01282J12RZ,27,M,284696.0,397,1
01283P16QE,40,M,409777.0,340,1
01285R23JP,45,M,379523.0,476,1
01287Y56WB,26,M,111299.0,329,0
01289Q32ZT,35,M,165875.0,189,0
01301S73UW,47,M,351466.0,336,0
01306A61HR,61,F,439906.6666666667,115,0
01307Y56MZ,39,M,414981.0,236,1
01309P43PO,25,F,421602.6666666667,446,1
01313I14RI,40,M,799874.6666666666,423,1
01315M01JZ,40,M,275369.0,388,1
01315V78UP,47,M,320075.0,221,0
01316H43SG,29,F,164517.33333333334,325,0
01326C26MX,41,F,532800.0,351,1
01327S33IW,62,M,200148.0,565,1
01333F92VU,43,M,248003.0,478,1
01333I37CN,26,F,482744.0,392,1
01333U14NG,27,F,355050.0,458,0
01336T52XP,35,M,102165.0,422,1
01337Z14BA,48,F,469770.6666666667,464,1
01338T72OP,45,M,196040.0,436,1
01342I16ML,35,M,144078.0,82,0
01345N44CG,31,F,304512.0,422,1
01346C84YK,31,F,156101.33333333334,129,0
01351A55CA,34,M,142028.0,508,1
01351P26AS,46,M,397192.0,445,1
01353U16FZ,28,F,269272.0,487,1
01354R98LA,59,F,191136.0,577,1
01354T67WW,53,F,88621.33333333333,215,0
01355Q80VJ,34,F,334658.6666666667,436,1
01356F57TA,39,F,574168.0,484,0
01356M83WX,34,F,336480.0,218,1
01357N30JU,54,M,535432.0,434,1
01358N59YL,55,F,209858.66666666666,301,0
01364G45TM,44,F,330200.0,252,0
01369W49CR,47,F,471397.3333333333,306,1
01369W98MB,56,F,379280.0,602,1
01372W11BU,51,F,152221.33333333334,447,1
01376K94JZ,62,F,493149.3333333333,214,1
01380W63OL,55,F,187149.33333333334,429,1
01380X67FY,49,M,197610.0,388,1
01381B03VW,52,F,292589.3333333333,767,1
01382D56FL,41,F,423469.3333333333,521,1
01383M58FX,34,M,222326.0,404,1
01383Q36KW,64,M,415455.0,414,1
01383W35PB,62,M,708848.0,688,1
01384I98ZU,28,M,105102.0,480,0
01388S72KJ,26,M,108929.0,121,0
01393Q21RX,39,M,331557.0,207,1
01398A01WH,47,F,452765.3333333333,226,1
01400H04QG,33,F,459330.6666666667,243,0
01403G09VB,50,M,321521.0,273,1
01404G08EW,40,M,780866.6666666666,51,1
01406B88CG,44,M,422416.0,340,0
01406X95UL,25,M,211326.0,798,0
01408H75PW,59,F,213752.0,803,1
01409K36EC,47,M,662544.0,384,1
01409T59KW,57,F,167648.0,315,1
01415Q91JU,60,M,762628.0,135,0
01417X45HM,54,F,392698.6666666667,334,0
01419G54GG,26,F,426376.3333333334,363,1
01419I84RQ,48,M,324878.0,352,1
01421N84MH,61,F,187114.66666666666,93,1
01421S26YP,54,F,480952.0,975,1
01425M18OD,57,F,216426.66666666666,113,0
01425Y96JL,59,F,177618.66666666666,597,1
01426B52BU,43,M,386394.0,343,0
01426W66OY,26,M,143183.0,70,0
01430O58LI,30,F,368253.3333333333,280,1
01432W09BC,35,M,153108.0,465,1
01436V30AV,55,F,330762.6666666667,348,1
01437C95KI,36,M,406444.0,446,1
01442O52DM,32,F,214557.33333333334,308,0
01442R87BN,30,F,258306.66666666666,344,0
01444X76TY,48,M,185427.0,191,0
01445K60PV,33,F,344929.0,448,1
01447S13RT,44,M,235917.0,402,1
01448C36FL,50,M,203749.0,26,0
01451X67BM,58,M,538155.0,421,1
01456R92SA,40,M,437619.0,324,1
01457G16YL,36,M,520576.0,375,1
01460A27QG,47,F,682890.6666666666,254,1
01464W35DF,36,M,549808.0,250,1
01465B88NC,55,F,329208.0,291,1
01465M23NM,55,F,203776.0,297,0
01469O84GB,27,M,134829.0,326,0
01471R97MB,57,F,276072.0,206,0
01477M84RH,64,M,548840.0,89,0
01478O25DF,64,M,483559.0,198,1
01481R52IF,52,M,132704.0,608,0
01483H74HS,47,F,771717.3333333334,427,1
01483O59HL,53,M,798844.0,372,1
01484J05OQ,27,M,264652.0,217,1
01485W03JJ,50,M,667221.3333333334,8,1
01490I51EZ,48,F,634786.6666666666,359,0
01491N47QL,52,F,319269.3333333333,248,1
01493A83ZJ,25,M,174444.0,88,1
01496T09SX,36,M,665789.3333333334,845,1
01504Y79UO,35,M,244566.0,67,0
01505B94VS,37,M,366798.0,258,0
01506I12AU,43,F,785157.3333333334,390,1
01508E27QQ,25,M,139166.0,1007,0
01510A15KE,65,M,175614.0,144,0
01511H32AX,37,M,389044.0,358,0
01512O88BV,34,F,316808.0,398,1
01513D21JV,26,F,260384.0,227,1
01513V60OL,58,M,570833.0,313,0
01518N47SC,43,F,732154.6666666666,395,1
01521R29DH,34,F,232042.66666666666,423,0
01522T08XX,54,F,210957.33333333334,211,0
01525R30QC,60,F,468312.0,321,1
01529K55DA,62,F,136354.66666666666,622,0
01533X59PC,37,M,250115.0,455,1
01538E02HP,27,M,259327.0,356,1
01541F43OG,36,M,780365.3333333334,370,0
01544I50GY,37,F,626282.6666666666,228,0
01546W12CJ,25,F,145586.66666666666,216,1
01548B49ZM,49,M,295069.0,316,1
01551V94SD,34,M,159494.0,313,0
01553B70KM,55,M,254337.0,434,0
01555A41KX,44,M,301631.0,438,1
01560H49HU,65,F,457253.3333333333,223,0
01562F67QV,47,M,446597.0,402,0
01563A98MO,27,M,224144.0,152,0
01568Z24BR,55,M,784432.0,368,1
01571H79ML,26,F,465928.0,306,0
01571R86PM,35,F,353011.0,365,0
01571V54WL,48,F,407728.0,13,0
01572S74OC,27,F,310973.3333333333,434,0
01579I48BG,27,M,202174.0,62,1
01581A11IP,42,F,532925.3333333334,36,1
01583Q01DX,50,M,633069.3333333334,400,1
01583X31HM,55,M,422858.0,343,1
01586H95YF,65,F,429688.0,464,1
01586P10FW,53,M,184484.0,24,0
01603M69XO,30,F,376951.0,201,0
01604S01EH,46,M,248878.0,120,0
01607Q95MN,44,M,668141.3333333334,246,1
01615X60NX,51,M,381384.0,380,0
01616R83CF,43,M,445246.0,436,1
01620V81EZ,38,F,321482.6666666667,186,0
01621P02NT,65,M,488394.0,42,1
01623P16AH,36,M,264908.0,285,1
01623Y64PC,52,F,111512.0,582,1
01624B54BM,62,M,202400.0,360,0
01630S00GL,30,F,155818.66666666666,438,1
01631X51XI,64,M,489525.0,843,1
01632P00GQ,55,M,177193.0,737,1
01634Z98FG,53,F,446400.0,263,1
01635T18WI,58,F,418002.6666666667,363,1
01636N18FK,54,F,227845.33333333334,363,1
01636R30JC,48,F,671565.3333333334,1017,1
01637A53AR,50,M,379562.0,256,1
